,count
bg-white,802
flex,775
mx-auto,768
lg:px-8,654
text-gray-900,646
items-center,631
font-semibold,603
rounded-md,524
relative,505
max-w-7xl,504
font-medium,491
text-sm,478
px-4,473
text-white,466
w-full,453
px-6,447
absolute,440
text-gray-500,428
mt-2,423
justify-center,418
sr-only,416
text-sm/6,398
grid,397
sm:px-6,381
py-2,374
text-base,368
text-gray-400,354
mt-6,353
size-5,342
block,341
tracking-tight,340
rounded-full,328
shadow-xs,326
shrink-0,322
inset-0,317
grid-cols-1,310
size-6,309
ring-1,302
overflow-hidden,299
max-w-2xl,297
px-3,293
justify-between,292
text-indigo-600,289
hidden,281
inline-flex,266
text-center,264
flex-col,264
text-gray-600,261
rounded-lg,258
mt-1,251
